% Concordance,Phi-3-medium-4k-instruct,Chocolatine-14B-Instruct-DPO-v1.2,Qwen2.5-32B,lambda-qwen2.5-32b-dpo-test,franqwenstein-35b,Yi-1.5-34B-Chat,qwen-carpmuscle-v0.1
30,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
40,0.14285714285714285,0.2,0.0,0.5,0.0,0.0,0.0
50,0.25,0.18181818181818182,0.16666666666666666,0.29411764705882354,0.0,0.0,0.25
60,0.1111111111111111,0.17647058823529413,0.08333333333333333,0.45454545454545453,0.0,0.2777777777777778,0.1111111111111111
70,0.21428571428571427,0.23076923076923078,0.26666666666666666,0.36363636363636365,0.16666666666666666,0.0,0.3333333333333333
80,0.23529411764705882,0.1875,0.14285714285714285,0.3333333333333333,0.4,0.0,0.08333333333333333
90,0.46153846153846156,0.21052631578947367,0.3157894736842105,0.35714285714285715,0.2222222222222222,0.17647058823529413,0.07692307692307693
100,0.0,0.35714285714285715,0.3235294117647059,0.6428571428571429,0.2714285714285714,0.0,0.13953488372093023
