% Concordance,Phi-3-medium-4k-instruct,Chocolatine-14B-Instruct-DPO-v1.2,Qwen2.5-32B,lambda-qwen2.5-32b-dpo-test,franqwenstein-35b,Yi-1.5-34B-Chat,qwen-carpmuscle-v0.1
10%,0.0,0.02403846153846154,0.052884615384615384,0.08653846153846154,0.09134615384615384,0.0,0.028846153846153848
20%,0.046218487394957986,0.037815126050420166,0.04201680672268908,0.05042016806722689,0.01680672268907563,0.01680672268907563,0.01680672268907563
30%,0.03067484662576687,0.03067484662576687,0.012269938650306749,0.06748466257668712,0.006134969325153374,0.018404907975460124,0.024539877300613498
40%,0.10204081632653061,0.04081632653061224,0.02040816326530612,0.0,0.0,0.02040816326530612,0.0
50%,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
