% Concordance,Phi-3-medium-4k-instruct,Chocolatine-14B-Instruct-DPO-v1.2,Qwen2.5-32B,lambda-qwen2.5-32b-dpo-test,franqwenstein-35b,Yi-1.5-34B-Chat,qwen-carpmuscle-v0.1
30,0.021052631578947368,0.0,0.0,0.0,0.0,0.0,0.0
40,0.010526315789473682,0.010526315789473684,0.0,0.021052631578947368,0.0,0.0,0.0
50,0.031578947368421054,0.021052631578947368,0.010526315789473684,0.052631578947368425,0.0,0.0,0.021052631578947368
60,0.021052631578947368,0.031578947368421054,0.010526315789473684,0.05263157894736842,0.0,0.052631578947368425,0.010526315789473684
70,0.03157894736842105,0.031578947368421054,0.042105263157894736,0.042105263157894736,0.010526315789473684,0.0,0.031578947368421054
80,0.042105263157894736,0.031578947368421054,0.010526315789473682,0.031578947368421054,0.021052631578947368,0.0,0.010526315789473684
90,0.06315789473684211,0.042105263157894736,0.06315789473684211,0.05263157894736842,0.021052631578947368,0.031578947368421054,0.010526315789473686
100,0.0,0.05263157894736842,0.11578947368421054,0.18947368421052632,0.19999999999999998,0.0,0.06315789473684211
