,0,1,2,3,4,5,6,7,8,9,10
Qwen2.5-32B,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2,0.14285714285714285,0.21052631578947367,0.3235294117647059
Phi-3-medium-4k-instruct,0.0,0.0,0.0,0.0,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.2857142857142857,0.11764705882352941,0.07692307692307693,0.2727272727272727
Yi-1.5-34B-Chat,0.0,0.0,0.0,0.0,0.16666666666666666,0.35,0.16666666666666666,0.1,0.23076923076923078,0.11764705882352941,0.0
lambda-qwen2.5-32b-dpo-test,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.18181818181818182,0.18181818181818182,0.1111111111111111,0.14285714285714285,0.07142857142857142
qwen-carpmuscle-v0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.4166666666666667,0.46153846153846156,0.18604651162790697
franqwenstein-35b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.0,0.1
Chocolatine-14B-Instruct-DPO-v1.2,0.0,0.0,0.0,0.0,0.4,0.18181818181818182,0.17647058823529413,0.23076923076923078,0.25,0.2631578947368421,0.21428571428571427
